antecedents,consequents,support,confidence,lift
"COND_cad, COND_obesity",MED_aspirin,0.03210845522654299,1.0,2.815670517327976
"COND_cad, COND_obesity, MED_atorvastatin",MED_aspirin,0.03210845522654299,1.0,2.815670517327976
"COND_obesity, DX_I21",MED_aspirin,0.027292186942561542,1.0,2.815670517327976
"DX_I50, COND_obesity",MED_aspirin,0.026757046022119157,1.0,2.815670517327976
"DX_I50, COND_obesity, MED_atorvastatin",MED_aspirin,0.026757046022119157,1.0,2.815670517327976
"COND_obesity, MED_atorvastatin, DX_I21",MED_aspirin,0.027292186942561542,1.0,2.815670517327976
"DX_I50, MED_aspirin","MED_albuterol, MED_atorvastatin",0.044059935783089546,0.44584837545126355,2.8146689107880443
COND_cad,MED_aspirin,0.12629325722440243,0.9971830985915494,2.8077390510819815
"COND_cad, MED_atorvastatin",MED_aspirin,0.12629325722440243,0.9971830985915494,2.8077390510819815
"MED_atorvastatin, DX_I21",MED_aspirin,0.10256867641812344,0.9965337954939342,2.805910827493217
DX_I21,MED_aspirin,0.10256867641812344,0.9965337954939342,2.805910827493217
DX_I50,MED_aspirin,0.09882268997502676,0.9964028776978417,2.805542206114566
"DX_I50, MED_atorvastatin",MED_aspirin,0.09882268997502676,0.9964028776978417,2.805542206114566
"COND_cad, MED_albuterol",MED_aspirin,0.05529789511237959,0.9935897435897436,2.797621347345104
"COND_cad, MED_albuterol, MED_atorvastatin",MED_aspirin,0.05529789511237959,0.9935897435897436,2.797621347345104
"MED_albuterol, MED_atorvastatin, DX_I21",MED_aspirin,0.04513021762397431,0.992156862745098,2.793586826995991
"MED_albuterol, DX_I21",MED_aspirin,0.04513021762397431,0.992156862745098,2.793586826995991
"DX_I50, MED_albuterol, MED_atorvastatin",MED_aspirin,0.044059935783089546,0.9919678714859438,2.793054689879558
"DX_I50, MED_albuterol",MED_aspirin,0.044059935783089546,0.9919678714859438,2.793054689879558
DX_I21,"MED_albuterol, MED_atorvastatin",0.04548697823760257,0.44194107452339687,2.7900018736240573
"MED_aspirin, DX_I21","MED_albuterol, MED_atorvastatin",0.04513021762397431,0.44,2.7777477477477475
COND_cad,"MED_albuterol, MED_atorvastatin",0.05565465572600785,0.4394366197183099,2.774191092500952
"COND_cad, MED_aspirin","MED_albuterol, MED_atorvastatin",0.05529789511237959,0.43785310734463273,2.764194279024787
DX_I21,MED_atorvastatin,0.1029254370317517,1.0,2.7240038872691934
"DX_I50, MED_aspirin",MED_atorvastatin,0.09882268997502676,1.0,2.7240038872691934
"DX_I50, MED_albuterol",MED_atorvastatin,0.0444166963967178,1.0,2.7240038872691934
"MED_aspirin, DX_I21",MED_atorvastatin,0.10256867641812344,1.0,2.7240038872691934
"MED_albuterol, DX_I21",MED_atorvastatin,0.04548697823760257,1.0,2.7240038872691934
"COND_cad, COND_obesity, MED_aspirin",MED_atorvastatin,0.03210845522654299,1.0,2.7240038872691934
"DX_I50, COND_obesity, MED_aspirin",MED_atorvastatin,0.026757046022119157,1.0,2.7240038872691934
"DX_I50, COND_obesity",MED_atorvastatin,0.026757046022119157,1.0,2.7240038872691934
COND_cad,MED_atorvastatin,0.12665001783803068,1.0,2.7240038872691934
"COND_cad, MED_aspirin",MED_atorvastatin,0.12629325722440243,1.0,2.7240038872691934
"COND_obesity, DX_I21",MED_atorvastatin,0.027292186942561542,1.0,2.7240038872691934
"COND_obesity, MED_aspirin, DX_I21",MED_atorvastatin,0.027292186942561542,1.0,2.7240038872691934
"COND_cad, MED_albuterol",MED_atorvastatin,0.05565465572600785,1.0,2.7240038872691934
"COND_cad, MED_albuterol, MED_aspirin",MED_atorvastatin,0.05529789511237959,1.0,2.7240038872691934
"DX_I50, MED_albuterol, MED_aspirin",MED_atorvastatin,0.044059935783089546,1.0,2.7240038872691934
DX_I50,MED_atorvastatin,0.09917945058865502,1.0,2.7240038872691934
"COND_cad, COND_obesity",MED_atorvastatin,0.03210845522654299,1.0,2.7240038872691934
"MED_albuterol, MED_aspirin, DX_I21",MED_atorvastatin,0.04513021762397431,1.0,2.7240038872691934
"MED_aspirin, COND_hypertension",MED_atorvastatin,0.03621120228326793,0.9269406392694064,2.5249899046376543
"MED_aspirin, MED_lisinopril, COND_hypertension",MED_atorvastatin,0.03621120228326793,0.9269406392694064,2.5249899046376543
"MED_atorvastatin, COND_hypertension",MED_aspirin,0.03621120228326793,0.894273127753304,2.5179784802536527
"MED_atorvastatin, MED_lisinopril, COND_hypertension",MED_aspirin,0.03621120228326793,0.894273127753304,2.5179784802536527
"COND_copd, MED_albuterol, MED_aspirin",MED_atorvastatin,0.035497681056011414,0.9128440366972477,2.4865907044338047
"COND_copd, MED_aspirin",MED_atorvastatin,0.035497681056011414,0.9128440366972477,2.4865907044338047
"DX_G47.33, MED_atorvastatin",MED_aspirin,0.03888690688547984,0.8825910931174089,2.4850857197469582
"COND_asthma, MED_albuterol, MED_atorvastatin",MED_aspirin,0.039600428112736355,0.8774703557312253,2.470667410461702
"COND_asthma, MED_atorvastatin",MED_aspirin,0.039600428112736355,0.8774703557312253,2.470667410461702
"DX_E78.5, MED_atorvastatin",MED_aspirin,0.03870852657866571,0.8749999999999999,2.4637117026619784
